Filename,FunDef,FunApp,letlambda,BinaryOperator,letdata,closure,templateMatch,ClassDef,ForLoop,WhileLoop,DoWhileLoop,IfStmt,SwitchStmt,CaseStmt,DefaultStmt,TernaryOp,ArrayDecl,FieldDecl,EnumConstantDecl,ParamDecl,TypedefDecl,StructDecl,FloatDecl,IntegerDecl,PtrDecl,UnionDecl,ReturnStmt,BreakStmt,ContinueStmt,DeclStmt,UnaryOperator,CharLiteral,StringLiteral,DeclRefExpr,MemberRefExpr,TranslationUnit,Namespace,TemplateTypeParam,TemplateNonTypeParam,TemplateTemplateParam,UnexpoesdDecl,NewOp,DelOp,Static_Cast<>,BoolLiteral,eTime_macos,eTime_windows10,Statements,Branches,Comments,Class Defs,Methods/Class,Avg Stmts/Method,Max Complexity,Max Depth,Avg Depth,Avg Complexity,Functions,Med_win,Ave_win,Std_win,Med_mac,Ave_mac,Std_mac
139.cpp,2,2,0,9,7,3,0,0,0,1,0,0,0,0,0,1,8,0,0,1,0,0,0,12,0,0,2,0,0,5,2,0,6,17,0,1,0,0,0,0,0,0,0,0,0,0.001588106,0.003998756,14,14.3,0,0,0,0,2,2,0.79,2,2,0.002999783,0.00293179,0.000576604,0.002891302,0.002587032,0.000572065
14.cpp,1,1,0,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,4,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0.001688004,0.004000902,11,0,29,0,0,0,1,2,0.73,1,1,0.00309515,0.004137559,0.002068265,0.002818942,0.002688408,0.000602857
140.cpp,1,0,0,2,5,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,5,2,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0.001811028,0.004002094,11,27.3,0,0,0,0,4,3,1.18,4,1,0.003029346,0.003048767,5.54E-05,0.002923131,0.00268178,0.000600545
141.cpp,1,0,0,5,6,4,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,16,0,0,1,0,0,5,1,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0.001693964,0.003996849,14,28.6,13.6,0,0,0,5,3,1.21,5,1,0.003001094,0.003014684,0.000481061,0.002984405,0.002692723,0.000581441
142.cpp,1,0,0,4,5,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,1,0,0,5,1,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0.001514912,0.00599885,10,20,0,0,0,0,3,2,1,3,1,0.003000021,0.002840627,0.000417258,0.002812147,0.002619576,0.000531138
143.cpp,1,0,0,8,7,4,0,0,2,0,0,1,0,0,0,0,7,0,0,0,0,0,0,33,0,0,1,0,0,7,2,0,0,20,0,1,0,0,0,0,0,0,0,0,0,0.001842022,0.005999088,12,25,32.4,0,0,0,6,4,1.17,6,1,0.002999783,0.002911633,0.000305131,0.002976298,0.002777696,0.000600047
144.cpp,1,0,0,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,3,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0.001591921,0.005997419,10,0,16.7,0,0,0,1,1,0.6,1,1,0.00300014,0.002918059,0.000569994,0.002955556,0.00274148,0.000657499
145.cpp,1,0,0,12,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,5,0,0,0,15,0,1,0,0,0,0,0,0,0,0,0,0.001574993,0.005999327,12,0,13.6,0,0,0,1,1,0.75,1,1,0.00300014,0.002920162,0.000568791,0.002997398,0.002699924,0.000601693
146.cpp,1,0,0,6,5,4,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,1,0,3,2,0,0,7,0,1,0,0,0,0,0,0,0,0,2,0.001850128,0.003998995,15,20,10,0,0,0,4,3,1.53,4,1,0.003000617,0.003031048,7.36E-05,0.002947807,0.002756286,0.000500283
147.cpp,1,1,0,6,8,5,0,0,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,9,0,0,1,0,0,7,2,2,0,13,1,1,0,0,0,0,0,0,0,0,0,0.001783133,0.005997896,14,21.4,12.5,0,0,0,5,4,1.5,5,1,0.00300169,0.002919436,0.00057781,0.002988935,0.002756238,0.000606116
